Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
2436,Entry long,2026-03-26 18:00,[CC] BUY PREMIUM,23824.25,2,952970,391,0.04,9,395.5,0.04,-14.5,0.00,124887.5,49.96,0
2437,Exit long,2026-03-27 09:30,NQ09B BUY NY STOP,23653.5,2,946190,-59,-0.01,9,365.5,0.04,-54.5,-0.01,124828.5,49.93,0
2437,Entry long,2026-03-27 09:30,[CC] BUY NY,23654.75,2,946190,-59,-0.01,9,365.5,0.04,-54.5,-0.01,124828.5,49.93,0
2438,Exit long,2026-03-29 18:00,NQ09B BUY WEEKLY STOP,23188.5,2,927590,-59,-0.01,9,0,0.00,-54.5,-0.01,124769.5,49.91,0
2438,Entry long,2026-03-29 18:00,[CC] BUY WEEKLY,23189.75,2,927590,-59,-0.01,9,0,0.00,-54.5,-0.01,124769.5,49.91,0
2439,Exit long,2026-03-30 09:30,NQ09B BUY NY N130 TP2,23525,2,940360,631,0.07,9,635.5,0.07,-14.5,0.00,125400.5,50.16,0
2439,Entry long,2026-03-30 09:30,[CC] BUY NY,23509,2,940360,631,0.07,9,635.5,0.07,-14.5,0.00,125400.5,50.16,0
2440,Exit long,2026-03-31 09:30,NQ09B BUY NY STOP,23380.75,2,935280,-59,-0.01,9,0,0.00,-54.5,-0.01,125341.5,50.14,0
2440,Entry long,2026-03-31 09:30,[CC] BUY NY,23382,2,935280,-59,-0.01,9,0,0.00,-54.5,-0.01,125341.5,50.14,0
2441,Exit long,2026-03-31 18:00,NQ09B BUY WEEKDAY 1800 STOP,23888,1,477785,-29.5,-0.01,4.5,0,0.00,-27.25,-0.01,125312,50.12,0
2441,Entry long,2026-03-31 18:00,[CC] BUY WEAK,23889.25,1,477785,-29.5,-0.01,4.5,0,0.00,-27.25,-0.01,125312,50.12,0
2442,Exit long,2026-04-01 09:30,NQ09B BUY NY STOP,24086.75,2,963520,-59,-0.01,9,0,0.00,-54.5,-0.01,125253,50.10,0
2442,Entry long,2026-04-01 09:30,[CC] BUY NY,24088,2,963520,-59,-0.01,9,0,0.00,-54.5,-0.01,125253,50.10,0
2443,Exit long,2026-04-02 09:30,NQ09B BUY NY STOP,23762.5,2,950550,-59,-0.01,9,0,0.00,-54.5,-0.01,125194,50.08,0
2443,Entry long,2026-04-02 09:30,[CC] BUY NY,23763.75,2,950550,-59,-0.01,9,0,0.00,-54.5,-0.01,125194,50.08,0
2444,Exit long,2026-04-05 18:00,NQ09B BUY WEEKLY STOP,24092.5,2,963750,-59,-0.01,9,15.5,0.00,-54.5,-0.01,125135,50.05,0
2444,Entry long,2026-04-05 18:00,[CC] BUY WEEKLY,24093.75,2,963750,-59,-0.01,9,15.5,0.00,-54.5,-0.01,125135,50.05,0
2445,Exit long,2026-04-06 09:30,NQ09B BUY NY STOP,24264.25,2,970620,-59,-0.01,9,0,0.00,-54.5,-0.01,125076,50.03,0
2445,Entry long,2026-04-06 09:30,[CC] BUY NY,24265.5,2,970620,-59,-0.01,9,0,0.00,-54.5,-0.01,125076,50.03,0
2446,Exit long,2026-04-07 09:30,NQ09B BUY NY STOP,24242.5,2,969750,-59,-0.01,9,0,0.00,-54.5,-0.01,125017,50.01,0
2446,Entry long,2026-04-07 09:30,[CC] BUY NY,24243.75,2,969750,-59,-0.01,9,0,0.00,-54.5,-0.01,125017,50.01,0
2447,Exit long,2026-04-07 18:00,NQ09B BUY WEEKDAY 1800 STOP,24513,1,490285,-29.5,-0.01,4.5,0,0.00,-27.25,-0.01,124987.5,50.00,0
2447,Entry long,2026-04-07 18:00,[CC] BUY WEAK,24514.25,1,490285,-29.5,-0.01,4.5,0,0.00,-27.25,-0.01,124987.5,50.00,0
2448,Exit long,2026-04-08 09:30,NQ09B BUY NY N130 TP2,25215.75,2,1007990,631,0.06,9,635.5,0.06,-14.5,0.00,125618.5,50.25,0
2448,Entry long,2026-04-08 09:30,[CC] BUY NY,25199.75,2,1007990,631,0.06,9,635.5,0.06,-14.5,0.00,125618.5,50.25,0
2449,Exit long,2026-04-09 09:30,NQ09B BUY NY N130 TP2,25097.25,2,1003250,631,0.06,9,635.5,0.06,-14.5,0.00,126249.5,50.50,0
