Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1342,Exit short,2023-06-02 09:30,NQ09B SELL NY STOP,14544.25,2,581720,-59,-0.01,9,0,0.00,-54.5,-0.01,57012,22.80,0
1342,Entry short,2023-06-02 09:30,[CC] SELL NY,14543,2,581720,-59,-0.01,9,0,0.00,-54.5,-0.01,57012,22.80,0
1343,Exit short,2023-06-04 18:00,NQ09B SELL WEEKLY STOP,14578,2,583070,-59,-0.01,9,0,0.00,-54.5,-0.01,56953,22.78,0
1343,Entry short,2023-06-04 18:00,[CC] SELL WEEKLY,14576.75,2,583070,-59,-0.01,9,0,0.00,-54.5,-0.01,56953,22.78,0
1344,Exit short,2023-06-05 09:30,NQ09B SELL NY STOP,14569.25,2,582720,-59,-0.01,9,5.5,0.00,-54.5,-0.01,56894,22.76,0
1344,Entry short,2023-06-05 09:30,[CC] SELL NY,14568,2,582720,-59,-0.01,9,5.5,0.00,-54.5,-0.01,56894,22.76,0
1345,Exit short,2023-06-06 09:30,NQ09B SELL NY N130 TP2,14548,2,582430,501,0.09,9,505.5,0.09,-34.5,-0.01,57395,22.96,0
1345,Entry short,2023-06-06 09:30,[CC] SELL NY,14560.75,2,582430,501,0.09,9,505.5,0.09,-34.5,-0.01,57395,22.96,0
1346,Exit short,2023-06-07 09:30,NQ09B SELL NY STOP,14593.25,2,583680,-59,-0.01,9,5.5,0.00,-54.5,-0.01,57336,22.93,0
1346,Entry short,2023-06-07 09:30,[CC] SELL NY,14592,2,583680,-59,-0.01,9,5.5,0.00,-54.5,-0.01,57336,22.93,0
1347,Exit short,2023-06-08 09:30,NQ09B SELL NY STOP,14339,2,573510,-59,-0.01,9,285.5,0.05,-54.5,-0.01,57277,22.91,0
1347,Entry short,2023-06-08 09:30,[CC] SELL NY,14337.75,2,573510,-59,-0.01,9,285.5,0.05,-54.5,-0.01,57277,22.91,0
1348,Exit short,2023-06-08 18:00,NQ09B SELL WEEKDAY 1800 STOP,14518,2,580670,-59,-0.01,9,0,0.00,-54.5,-0.01,57218,22.89,0
1348,Entry short,2023-06-08 18:00,[CC] SELL PREMIUM,14516.75,2,580670,-59,-0.01,9,0,0.00,-54.5,-0.01,57218,22.89,0
1349,Exit short,2023-06-09 09:30,NQ09B SELL NY STOP,14562.75,2,582460,-59,-0.01,9,175.5,0.03,-54.5,-0.01,57159,22.86,0
1349,Entry short,2023-06-09 09:30,[CC] SELL NY,14561.5,2,582460,-59,-0.01,9,175.5,0.03,-54.5,-0.01,57159,22.86,0
1350,Exit short,2023-06-11 18:00,NQ09B SELL WEEKLY STOP,14561.25,2,582400,-59,-0.01,9,0,0.00,-54.5,-0.01,57100,22.84,0
1350,Entry short,2023-06-11 18:00,[CC] SELL WEEKLY,14560,2,582400,-59,-0.01,9,0,0.00,-54.5,-0.01,57100,22.84,0
1351,Exit short,2023-06-12 09:30,NQ09B SELL NY STOP,14623.75,2,584900,-59,-0.01,9,0,0.00,-54.5,-0.01,57041,22.82,0
1351,Entry short,2023-06-12 09:30,[CC] SELL NY,14622.5,2,584900,-59,-0.01,9,0,0.00,-54.5,-0.01,57041,22.82,0
1352,Exit short,2023-06-13 09:30,NQ09B SELL NY STOP,15098,2,603870,-59,-0.01,9,0,0.00,-54.5,-0.01,56982,22.79,0
1352,Entry short,2023-06-13 09:30,[CC] SELL NY,15096.75,2,603870,-59,-0.01,9,0,0.00,-54.5,-0.01,56982,22.79,0
1353,Exit short,2023-06-13 18:00,NQ09B SELL WEEKDAY 1800 STOP,15111.25,1,302200,-29.5,-0.01,4.5,2.75,0.00,-27.25,-0.01,56952.5,22.78,0
1353,Entry short,2023-06-13 18:00,[CC] SELL WEAK,15110,1,302200,-29.5,-0.01,4.5,2.75,0.00,-27.25,-0.01,56952.5,22.78,0
1354,Exit short,2023-06-14 09:30,NQ09B SELL NY STOP,15096.5,2,603810,-59,-0.01,9,0,0.00,-54.5,-0.01,56893.5,22.76,0
1354,Entry short,2023-06-14 09:30,[CC] SELL NY,15095.25,2,603810,-59,-0.01,9,0,0.00,-54.5,-0.01,56893.5,22.76,0
