ts_event_utc,ts_recv_utc,price,size,bid,ask,spread_points,quote_state,action,side,flags,sequence,publisher_id,instrument_id,rtype,source_file
2020-03-16 13:45:07.136371247+00:00,2020-03-16 13:45:07.136548579+00:00,7264.0,1,7263.0,7264.0,1.0,VALID,T,B,0,4630769,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:07.136675499+00:00,2020-03-16 13:45:07.136879216+00:00,7264.0,2,7263.0,7264.0,1.0,VALID,T,B,0,4630772,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:07.136820405+00:00,2020-03-16 13:45:07.137087737+00:00,7253.0,1,7263.0,7264.25,1.25,VALID,T,A,0,4630774,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:07.136820405+00:00,2020-03-16 13:45:07.137087737+00:00,7263.0,2,7263.0,7264.25,1.25,VALID,T,A,0,4630774,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:07.137116723+00:00,2020-03-16 13:45:07.137328709+00:00,7253.0,1,7253.0,7264.0,11.0,VALID,T,A,0,4630780,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:07.137263849+00:00,2020-03-16 13:45:07.137441906+00:00,7253.0,3,7253.0,7264.0,11.0,VALID,T,A,0,4630782,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:07.137266345+00:00,2020-03-16 13:45:07.137513802+00:00,7253.0,1,7253.0,7264.0,11.0,VALID,T,A,0,4630784,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:07.137404621+00:00,2020-03-16 13:45:07.137573030+00:00,7253.0,3,7253.0,7264.0,11.0,VALID,T,A,0,4630786,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:07.137559437+00:00,2020-03-16 13:45:07.137719039+00:00,7253.0,1,7253.0,7264.0,11.0,VALID,T,A,0,4630788,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:07.137691013+00:00,2020-03-16 13:45:07.137997896+00:00,7253.0,2,7253.0,7264.0,11.0,VALID,T,A,0,4630790,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:07.137819239+00:00,2020-03-16 13:45:07.138058300+00:00,7253.0,2,7253.0,7264.0,11.0,VALID,T,A,0,4630791,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:07.137938537+00:00,2020-03-16 13:45:07.138112256+00:00,7253.0,1,7253.0,7264.0,11.0,VALID,T,A,0,4630792,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:07.138069793+00:00,2020-03-16 13:45:07.138229721+00:00,7253.0,1,7253.0,7264.0,11.0,VALID,T,A,0,4630795,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:07.138197757+00:00,2020-03-16 13:45:07.138355785+00:00,7253.0,1,7253.0,7264.0,11.0,VALID,T,A,0,4630797,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:07.220966085+00:00,2020-03-16 13:45:07.221159408+00:00,7256.5,1,7256.5,7261.75,5.25,VALID,T,A,0,4630962,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
