month,net,scenario
2024-06,1513.0,CONTROL_DERIVED_2T_ENTRY_SLIP
2024-07,2503.5,CONTROL_DERIVED_2T_ENTRY_SLIP
2024-08,5321.5,CONTROL_DERIVED_2T_ENTRY_SLIP
2024-09,2530.0,CONTROL_DERIVED_2T_ENTRY_SLIP
2024-10,3544.0,CONTROL_DERIVED_2T_ENTRY_SLIP
2024-11,2875.5,CONTROL_DERIVED_2T_ENTRY_SLIP
2024-12,8466.0,CONTROL_DERIVED_2T_ENTRY_SLIP
2025-01,4809.5,CONTROL_DERIVED_2T_ENTRY_SLIP
2025-02,4449.5,CONTROL_DERIVED_2T_ENTRY_SLIP
2025-03,10014.5,CONTROL_DERIVED_2T_ENTRY_SLIP
2025-04,8008.5,CONTROL_DERIVED_2T_ENTRY_SLIP
2025-05,6194.5,CONTROL_DERIVED_2T_ENTRY_SLIP
2025-06,5714.5,CONTROL_DERIVED_2T_ENTRY_SLIP
2025-07,1872.0,CONTROL_DERIVED_2T_ENTRY_SLIP
2025-08,2596.5,CONTROL_DERIVED_2T_ENTRY_SLIP
2025-09,781.5,CONTROL_DERIVED_2T_ENTRY_SLIP
2025-10,4186.5,CONTROL_DERIVED_2T_ENTRY_SLIP
2025-11,8620.5,CONTROL_DERIVED_2T_ENTRY_SLIP
2025-12,6004.5,CONTROL_DERIVED_2T_ENTRY_SLIP
2026-01,10831.5,CONTROL_DERIVED_2T_ENTRY_SLIP
2026-02,8940.0,CONTROL_DERIVED_2T_ENTRY_SLIP
2026-03,9043.5,CONTROL_DERIVED_2T_ENTRY_SLIP
2026-04,9100.5,CONTROL_DERIVED_2T_ENTRY_SLIP
2026-05,10992.0,CONTROL_DERIVED_2T_ENTRY_SLIP
2026-06,9592.5,CONTROL_DERIVED_2T_ENTRY_SLIP
2026-07,13606.5,CONTROL_DERIVED_2T_ENTRY_SLIP
2020-01,-1095.5,CONTROL_DERIVED_4T_ENTRY_SLIP
2020-02,1534.0,CONTROL_DERIVED_4T_ENTRY_SLIP
2020-03,5957.5,CONTROL_DERIVED_4T_ENTRY_SLIP
2020-04,4250.0,CONTROL_DERIVED_4T_ENTRY_SLIP
2020-05,1579.0,CONTROL_DERIVED_4T_ENTRY_SLIP
2020-06,2094.0,CONTROL_DERIVED_4T_ENTRY_SLIP
2020-07,4321.0,CONTROL_DERIVED_4T_ENTRY_SLIP
2020-08,-284.5,CONTROL_DERIVED_4T_ENTRY_SLIP
2020-09,5193.0,CONTROL_DERIVED_4T_ENTRY_SLIP
2020-10,2153.5,CONTROL_DERIVED_4T_ENTRY_SLIP
2020-11,4071.5,CONTROL_DERIVED_4T_ENTRY_SLIP
2020-12,208.0,CONTROL_DERIVED_4T_ENTRY_SLIP
2021-01,1968.5,CONTROL_DERIVED_4T_ENTRY_SLIP
2021-02,3505.0,CONTROL_DERIVED_4T_ENTRY_SLIP
2021-03,3386.0,CONTROL_DERIVED_4T_ENTRY_SLIP
2021-04,781.0,CONTROL_DERIVED_4T_ENTRY_SLIP
2021-05,721.5,CONTROL_DERIVED_4T_ENTRY_SLIP
2021-06,-149.0,CONTROL_DERIVED_4T_ENTRY_SLIP
2021-07,483.5,CONTROL_DERIVED_4T_ENTRY_SLIP
2021-08,-18.5,CONTROL_DERIVED_4T_ENTRY_SLIP
2021-09,3592.5,CONTROL_DERIVED_4T_ENTRY_SLIP
2021-10,4268.0,CONTROL_DERIVED_4T_ENTRY_SLIP
2021-11,2573.5,CONTROL_DERIVED_4T_ENTRY_SLIP
2021-12,3062.5,CONTROL_DERIVED_4T_ENTRY_SLIP
2022-01,7243.0,CONTROL_DERIVED_4T_ENTRY_SLIP
2022-02,4440.0,CONTROL_DERIVED_4T_ENTRY_SLIP
2022-03,5816.0,CONTROL_DERIVED_4T_ENTRY_SLIP
2022-04,2818.0,CONTROL_DERIVED_4T_ENTRY_SLIP
2022-05,6931.0,CONTROL_DERIVED_4T_ENTRY_SLIP
2022-06,6614.0,CONTROL_DERIVED_4T_ENTRY_SLIP
2022-07,7098.0,CONTROL_DERIVED_4T_ENTRY_SLIP
2022-08,4260.0,CONTROL_DERIVED_4T_ENTRY_SLIP
2022-09,2193.5,CONTROL_DERIVED_4T_ENTRY_SLIP
2022-10,2961.5,CONTROL_DERIVED_4T_ENTRY_SLIP
2022-11,2948.5,CONTROL_DERIVED_4T_ENTRY_SLIP
2022-12,3180.0,CONTROL_DERIVED_4T_ENTRY_SLIP
2023-01,2889.0,CONTROL_DERIVED_4T_ENTRY_SLIP
2023-02,137.0,CONTROL_DERIVED_4T_ENTRY_SLIP
2023-03,1514.5,CONTROL_DERIVED_4T_ENTRY_SLIP
2023-04,888.5,CONTROL_DERIVED_4T_ENTRY_SLIP
2023-05,-403.5,CONTROL_DERIVED_4T_ENTRY_SLIP
2023-06,3764.5,CONTROL_DERIVED_4T_ENTRY_SLIP
2023-07,4559.0,CONTROL_DERIVED_4T_ENTRY_SLIP
2023-08,2897.0,CONTROL_DERIVED_4T_ENTRY_SLIP
2023-09,3067.5,CONTROL_DERIVED_4T_ENTRY_SLIP
2023-10,2819.5,CONTROL_DERIVED_4T_ENTRY_SLIP
2023-11,2210.0,CONTROL_DERIVED_4T_ENTRY_SLIP
2023-12,74.5,CONTROL_DERIVED_4T_ENTRY_SLIP
2024-01,1240.5,CONTROL_DERIVED_4T_ENTRY_SLIP
2024-02,1420.5,CONTROL_DERIVED_4T_ENTRY_SLIP
2024-03,1170.0,CONTROL_DERIVED_4T_ENTRY_SLIP
2024-04,4051.0,CONTROL_DERIVED_4T_ENTRY_SLIP
2024-05,1452.0,CONTROL_DERIVED_4T_ENTRY_SLIP
2024-06,953.0,CONTROL_DERIVED_4T_ENTRY_SLIP
2024-07,1833.5,CONTROL_DERIVED_4T_ENTRY_SLIP
2024-08,4691.5,CONTROL_DERIVED_4T_ENTRY_SLIP
2024-09,1930.0,CONTROL_DERIVED_4T_ENTRY_SLIP
2024-10,2864.0,CONTROL_DERIVED_4T_ENTRY_SLIP
2024-11,2265.5,CONTROL_DERIVED_4T_ENTRY_SLIP
2024-12,7846.0,CONTROL_DERIVED_4T_ENTRY_SLIP
2025-01,4219.5,CONTROL_DERIVED_4T_ENTRY_SLIP
2025-02,3859.5,CONTROL_DERIVED_4T_ENTRY_SLIP
2025-03,9424.5,CONTROL_DERIVED_4T_ENTRY_SLIP
2025-04,7338.5,CONTROL_DERIVED_4T_ENTRY_SLIP
2025-05,5604.5,CONTROL_DERIVED_4T_ENTRY_SLIP
2025-06,5124.5,CONTROL_DERIVED_4T_ENTRY_SLIP
2025-07,1232.0,CONTROL_DERIVED_4T_ENTRY_SLIP
2025-08,1966.5,CONTROL_DERIVED_4T_ENTRY_SLIP
2025-09,151.5,CONTROL_DERIVED_4T_ENTRY_SLIP
2025-10,3556.5,CONTROL_DERIVED_4T_ENTRY_SLIP
2025-11,8010.5,CONTROL_DERIVED_4T_ENTRY_SLIP
2025-12,5414.5,CONTROL_DERIVED_4T_ENTRY_SLIP
2026-01,10201.5,CONTROL_DERIVED_4T_ENTRY_SLIP
2026-02,8340.0,CONTROL_DERIVED_4T_ENTRY_SLIP
2026-03,8373.5,CONTROL_DERIVED_4T_ENTRY_SLIP
2026-04,8490.5,CONTROL_DERIVED_4T_ENTRY_SLIP
2026-05,10352.0,CONTROL_DERIVED_4T_ENTRY_SLIP
2026-06,8942.5,CONTROL_DERIVED_4T_ENTRY_SLIP
2026-07,12976.5,CONTROL_DERIVED_4T_ENTRY_SLIP
