side,Trade number,route,entry_dt,exit_dt,net,points,at_route_cap,exit_bar_utc,authority_files_overlapping_exit_bar,full_5m_covered,full_30m_covered,best_authority_rank
BUY,694,NY,2021-09-07 09:30:00,2021-09-07 09:30:00,501.0,12.75,False,2021-09-07T13:30:00+00:00,0,False,False,0
BUY,699,NY,2021-09-10 09:30:00,2021-09-10 09:30:00,501.0,12.75,False,2021-09-10T13:30:00+00:00,0,False,False,0
BUY,701,NY,2021-09-13 09:30:00,2021-09-13 09:30:00,501.0,12.75,False,2021-09-13T13:30:00+00:00,0,False,False,0
BUY,711,NY,2021-09-21 09:30:00,2021-09-21 09:30:00,501.0,12.75,False,2021-09-21T13:30:00+00:00,0,False,False,0
BUY,718,WEEKLY,2021-09-26 18:00:00,2021-09-26 18:00:00,311.0,8.0,False,2021-09-26T22:00:00+00:00,0,False,False,0
BUY,719,NY,2021-09-27 09:30:00,2021-09-27 09:30:00,501.0,12.75,False,2021-09-27T13:30:00+00:00,0,False,False,0
BUY,721,WEAK,2021-09-28 18:00:00,2021-09-28 18:00:00,155.5,8.0,False,2021-09-28T22:00:00+00:00,0,False,False,0
BUY,725,NY,2021-10-01 09:30:00,2021-10-01 09:30:00,501.0,12.75,False,2021-10-01T13:30:00+00:00,0,False,False,0
BUY,727,NY,2021-10-04 09:30:00,2021-10-04 09:30:00,501.0,12.75,False,2021-10-04T13:30:00+00:00,0,False,False,0
BUY,735,WEEKLY,2021-10-10 18:00:00,2021-10-10 18:00:00,311.0,8.0,False,2021-10-10T22:00:00+00:00,0,False,False,0
BUY,737,NY,2021-10-12 09:30:00,2021-10-12 09:30:00,501.0,12.75,False,2021-10-12T13:30:00+00:00,0,False,False,0
BUY,739,NY,2021-10-13 09:30:00,2021-10-13 09:30:00,501.0,12.75,False,2021-10-13T13:30:00+00:00,0,False,False,0
BUY,742,WEEKLY,2021-10-17 18:00:00,2021-10-17 18:00:00,311.0,8.0,False,2021-10-17T22:00:00+00:00,0,False,False,0
