trade_number,entry_time,route_class,q,label,buy_net,sell_net,pair_net,action,prob_buy,prob_sell,expected_buy,expected_sell,rf_action,static_action,month,probability_margin,chosen_expected_edge,rf_net_0t,static_net_0t,delta_rf_minus_static_0t,rf_net_1t,static_net_1t,delta_rf_minus_static_1t,rf_net_2t,static_net_2t,delta_rf_minus_static_2t,rf_net_4t,static_net_4t,delta_rf_minus_static_4t,relationship,rf_outcome,static_outcome,rf_label_match,static_label_match
2388,2026-02-13 09:30:00,NY,2.0,SELL,-59.0,631.0,572.0,SELL,0.3526880167822522,0.3986326598456205,184.354731579754,216.0565352934781,SELL,SELL,2026-02,0.04594464306336832,216.0565352934781,631.0,631.0,0.0,621.0,621.0,0.0,611.0,611.0,0.0,591.0,591.0,0.0,SAME_ACTION,WIN,WIN,True,True
2389,2026-02-15 18:00:00,WEEKLY,2.0,SELL,-59.0,391.0,332.0,SELL,0.3903041780465384,0.4418783212843623,116.63688012094228,139.84524457796303,SELL,BUY,2026-02,0.05157414323782389,139.84524457796303,391.0,-59.0,450.0,381.0,-69.0,450.0,371.0,-79.0,450.0,351.0,-99.0,450.0,OPPOSITE_DIRECTION,WIN,LOSS,True,False
2390,2026-02-16 09:30:00,NY,2.0,SKIP,-59.0,-59.0,-118.0,SELL,0.2616974894113161,0.4035013133722559,121.5712676938081,219.41590622685655,SELL,SELL,2026-02,0.14180382396093982,219.41590622685655,-59.0,-59.0,0.0,-69.0,-69.0,0.0,-79.0,-79.0,0.0,-99.0,-99.0,0.0,SAME_ACTION,LOSS,LOSS,False,False
2391,2026-02-16 18:00:00,WEEKDAY_WEAK,1.0,SKIP,-29.5,-29.5,-59.0,SKIP,0.2429532492047781,0.3515496479230184,25.16448107107508,49.59867078267915,SKIP,SELL,2026-02,0.10859639871824031,0.0,0.0,-29.5,29.5,0.0,-34.5,34.5,0.0,-39.5,39.5,0.0,-49.5,49.5,RF_SKIP_STATIC_TRADE,SKIP,LOSS,True,False
2392,2026-02-17 09:30:00,NY,2.0,SELL,-59.0,631.0,572.0,SELL,0.3120764159878038,0.3750709632401802,156.33272703158462,199.7989646357244,SELL,SELL,2026-02,0.06299454725237641,199.7989646357244,631.0,631.0,0.0,621.0,621.0,0.0,611.0,611.0,0.0,591.0,591.0,0.0,SAME_ACTION,WIN,WIN,True,True
2393,2026-02-17 18:00:00,WEEKDAY_WEAK,1.0,SKIP,-29.5,-29.5,-59.0,SKIP,0.2656749000341199,0.3204584973566016,30.276852507676985,42.60316190523535,SKIP,SELL,2026-02,0.05478359732248167,0.0,0.0,-29.5,29.5,0.0,-34.5,34.5,0.0,-39.5,39.5,0.0,-49.5,49.5,RF_SKIP_STATIC_TRADE,SKIP,LOSS,True,False
2394,2026-02-18 09:30:00,NY,2.0,BUY,631.0,-59.0,572.0,SELL,0.2838635501739441,0.3549652723308122,136.86584962002144,185.92603790826044,SELL,SELL,2026-02,0.07110172215686811,185.92603790826044,-59.0,-59.0,0.0,-69.0,-69.0,0.0,-79.0,-79.0,0.0,-99.0,-99.0,0.0,SAME_ACTION,LOSS,LOSS,False,False
2395,2026-02-19 09:30:00,NY,2.0,SELL,-59.0,631.0,572.0,BUY,0.3835958690110208,0.3016288022378914,205.68114961760432,149.1238735441451,BUY,SELL,2026-02,0.08196706677312937,205.68114961760432,-59.0,631.0,-690.0,-69.0,621.0,-690.0,-79.0,611.0,-690.0,-99.0,591.0,-690.0,OPPOSITE_DIRECTION,LOSS,WIN,False,True
2396,2026-02-20 09:30:00,NY,2.0,SELL,-59.0,631.0,572.0,SELL,0.3307301145219867,0.389889041472545,169.20377902017083,210.02343861605607,SELL,SELL,2026-02,0.0591589269505583,210.02343861605607,631.0,631.0,0.0,621.0,621.0,0.0,611.0,611.0,0.0,591.0,591.0,0.0,SAME_ACTION,WIN,WIN,True,True
2397,2026-02-22 18:00:00,WEEKLY,2.0,SELL,-59.0,391.0,332.0,BUY,0.4569413254683243,0.2974272124719508,146.62359646074594,74.84224561237787,BUY,BUY,2026-02,0.15951411299637347,146.62359646074594,-59.0,-59.0,0.0,-69.0,-69.0,0.0,-79.0,-79.0,0.0,-99.0,-99.0,0.0,SAME_ACTION,LOSS,LOSS,False,False
